Device Name,Device Label,Device ID,deviceNetworkId,roomName,typeName,manufacturer,model,softwareBuild,Driver Author
Virtual Astro-Meteor Seasons Tile Device,Astro-Meteor Seasons Tile,682,48ed7823-a9eb-42ad-89ba-060dfb8e4fbd,Virtual,Astronomical & Meteorological Seasons,,,,jshimota
Virtual Battery Monitor 2.0 Tile Device,Battery Monitor 2.0 Tile,681,51b5c85d-3c4e-4e65-ad8c-aea9f7ec8061,Virtual,Notification Tile (Custom),,,,jshimota
Virtual Daily Device Cycle Tile Device,Daily Device Cycle Tile,677,bb355827-6ec9-4136-bdc0-d6a8449d46f4,Virtual,Notification Tile (Custom),,,,jshimota
Virtual Date & Time Parser Storage Device,Date & Time Parser Storage,21,8b8213f0-87ba-450c-ab77-04067f2e32d5,Virtual,Date & Time Parser,,,,jshimota
Virtual Garage Door Alexa Protocol Test Driver,Virtual Garage Door Alexa Protocol Test Device,1028,e591e121-7691-45c1-8406-d3ccfd199c44,Virtual,Virtual Garage Door Alexa Protocol Test Driver,,,,jshimota
Virtual Guest Showering Switch,Guest Showering,644,539cfae8-a84d-4d5b-9575-4785aed7acce,Virtual,Virtual Inverse-able Switch w-autoOff and Toggle,,,,jshimota
Virtual iLife v5sPlus Vacuum Switch,ILife Vacuum,216,bdacf5af-d673-4cf9-8274-08d0ed957cc3,Virtual,Virtual Inverse-able Switch w-autoOff and Toggle,,,,jshimota
Virtual Mode - Awake Switch,Mode - Awake,64,5afc91c1-b0ef-4596-8603-e4da055581f0,Virtual,Virtual Presence Contact and Switch,,,,jshimota
Virtual Mode - Away Switch,Mode - Away,62,db8fc0a2-5bf9-4194-9be9-65ff92bf9dc4,Virtual,Virtual Presence Contact and Switch,,,,jshimota
Virtual Mode - Day Switch,Mode - Day,58,d0734d06-7519-4667-9385-d9b277ed8729,Virtual,Virtual Inverse-able Switch w-autoOff and Toggle,,,,jshimota
Virtual Mode - Early Morning Switch,Mode - Early Morning,56,173b9b12-7da6-41a3-9991-63d2b549ebcf,Virtual,Virtual Inverse-able Switch w-autoOff and Toggle,,,,jshimota
Virtual Mode - Evening Switch,Mode - Evening,59,c92609dc-0786-49c2-844d-ce3713476a8c,Virtual,Virtual Inverse-able Switch w-autoOff and Toggle,,,,jshimota
Virtual Mode - Home Switch,Mode - Home,63,125b4f7d-5c37-4d1e-9a5b-79f120357bfe,Virtual,Virtual Presence Contact and Switch,,,,jshimota
Virtual Mode - Late Evening Switch,Mode - Late Evening,60,9d805a35-58f1-457e-b962-e50d5a5a74bc,Virtual,Virtual Inverse-able Switch w-autoOff and Toggle,,,,jshimota
Virtual Mode - Morning Switch,Mode - Morning,57,f9dec524-525d-4098-972e-0ba4798c4ec0,Virtual,Virtual Inverse-able Switch w-autoOff and Toggle,,,,jshimota
Virtual Mode - Sleeping Switch,Mode - Sleeping,61,1d2df393-2c6d-4c78-85fe-b8595b7f6ffa,Virtual,Virtual Presence Contact and Switch,,,,jshimota
